Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),pasttel (ms),PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_6.txt,TERMINATING,0.35,62.27,42.45,11.00,TERMINATING,3,2,5,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_7.txt,TERMINATING,0.39,68.05,58.61,9.00,TERMINATING,8,6,14,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallIrregular_incorrect.bpl/lasso_trace_8.txt,TERMINATING,0.38,44.58,38.12,10.00,TERMINATING,7,2,9,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallReturn.bpl/lasso_trace_1.txt,TERMINATING,1.72,44.02,63.53,4.00,TERMINATING,0,2,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_CallReturn.bpl/lasso_trace_2.txt,TERMINATING,0.65,72.93,64.46,6.00,TERMINATING,2,2,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_cggmp2005b.c.i_4.bpl/lasso_trace_2.txt,TERMINATING,0.64,33.45,39.88,7.00,TERMINATING,3,1,4,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_cggmp2005.c.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.30,50.42,37.07,8.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_cggmp2005.c.i_3.bplTransformedIcfg_BEv2_2.bpl/lasso_trace_1.txt,TERMINATING,2.49,48.13,41.64,8.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_cggmp2005_variant.c.i_3.bpl/lasso_trace_1.txt,TERMINATING,2.42,47.31,65.73,14.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_cggmp2005_variant.c.i_3.bplTransformedIcfg_BEv2_3.bpl/lasso_trace_1.txt,TERMINATING,2.49,48.58,71.83,9.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ChenFlurMukhopadhyay-2012SAS-Fig1.bpl/lasso_trace_1.txt,TERMINATING,2.16,117.20,38.61,7.00,TERMINATING,0,1,1,3-Nested Template / 3-Nested Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_ChoirNightTrezor03.bpl/lasso_trace_1.txt,TERMINATING,2.02,51.25,58.29,12.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_codeblockAssertOrder01.bpl/lasso_trace_1.txt,TERMINATING,2.02,47.05,36.65,5.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_codeblockAssertOrder02.bpl/lasso_trace_1.txt,TERMINATING,2.76,57.06,38.97,6.00,TERMINATING,1,1,2,Affine Template / Affine Template
ATVA2026_benchmark/TERM_LASSO//lasso_traces_concurrent_FiveToOne_nonterminating.bpl/lasso_trace_1.txt,TERMINATING,2.06,55.16,37.06,6.00,TERMINATING,2,2,4,Affine Template / Affine Template
