nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
200	2.03	65.84	7	TERMINATING	5	1	6	Affine Template / Affine Template
201	2.06	70.86	6	TERMINATING	5	1	6	Affine Template / Affine Template
202	1.98	73.56	6	TERMINATING	5	1	6	Affine Template / Affine Template
203	1.92	68.7	6	TERMINATING	5	1	6	Affine Template / Affine Template
204	2.15	73.21	6	TERMINATING	5	1	6	Affine Template / Affine Template
205	2.06	140.74	9	TERMINATING	5	1	6	Affine Template / Affine Template
206	2.15	140.77	9	TERMINATING	5	1	6	Affine Template / Affine Template
207	2.16	143.41	9	TERMINATING	5	1	6	Affine Template / Affine Template
208	1.85	58.7	7	TERMINATING	5	3	8	Affine Template / Affine Template
209	0.38	102.52	7	TERMINATING	9	2	11	Affine Template / Affine Template
210	0.45	42.3	8	TERMINATING	11	6	17	Affine Template / Affine Template
211	0.3	86.75	7	TERMINATING	15	2	17	Affine Template / Affine Template
212	0.29	88.19	7	TERMINATING	32	3	35	Affine Template / Affine Template
213	2.01	55.21	7	TERMINATING	5	3	8	Affine Template / Affine Template
214	0.41	107.2	7	TERMINATING	9	2	11	Affine Template / Affine Template
215	0.5	39.87	8	TERMINATING	11	6	17	Affine Template / Affine Template
216	0.3	84.75	7	TERMINATING	15	2	17	Affine Template / Affine Template
217	0.29	82.35	7	TERMINATING	32	3	35	Affine Template / Affine Template
218	2.57	58.84	6	TERMINATING	5	3	8	Affine Template / Affine Template
219	0.37	108.18	7	TERMINATING	9	2	11	Affine Template / Affine Template
220	0.36	39.31	7	TERMINATING	11	6	17	Affine Template / Affine Template
221	0.29	85.79	7	TERMINATING	15	2	17	Affine Template / Affine Template
222	0.24	95.09	6	TERMINATING	32	3	35	Affine Template / Affine Template
223	1.88	128.22	8	TERMINATING	5	4	9	Affine Template / Affine Template
224	2.21	132.62	7	TERMINATING	5	4	9	Affine Template / Affine Template
225	2.06	134.08	8	TERMINATING	5	4	9	Affine Template / Affine Template
226	0.3	55.48	8	TERMINATING	14	11	25	Affine Template / Affine Template
227	0.27	115.8	8	TERMINATING	21	11	32	Affine Template / Affine Template
228	0.24	115.57	8	TERMINATING	14	13	27	Affine Template / Affine Template
229	0.25	83.21	8	TERMINATING	18	13	31	Affine Template / Affine Template
230	0.28	100.76	8	TERMINATING	25	4	29	Affine Template / Affine Template
231	0.32	110.64	8	TERMINATING	25	15	40	Affine Template / Affine Template
232	1.82	65.54	7	TERMINATING	5	4	9	Affine Template / Affine Template
233	0.28	51.01	8	TERMINATING	8	2	10	Affine Template / Affine Template
234	0.28	122.14	14	TERMINATING	13	5	18	Affine Template / Affine Template
235	0.31	67.63	8	TERMINATING	15	4	19	Affine Template / Affine Template
236	0.31	121.24	9	TERMINATING	17	2	19	Affine Template / Affine Template
237	0.3	90.93	8	TERMINATING	19	4	23	Affine Template / Affine Template
238	0.37	63.95	7	TERMINATING	14	11	25	Affine Template / Affine Template
239	0.28	124.93	8	TERMINATING	21	11	32	Affine Template / Affine Template
240	0.32	118.42	9	TERMINATING	14	13	27	Affine Template / Affine Template
241	0.33	96.77	9	TERMINATING	18	13	31	Affine Template / Affine Template
242	0.35	114.13	8	TERMINATING	25	4	29	Affine Template / Affine Template
243	0.34	123.82	9	TERMINATING	25	15	40	Affine Template / Affine Template
244	2.31	76.44	8	TERMINATING	5	4	9	Affine Template / Affine Template
245	0.44	62.97	8	TERMINATING	8	2	10	Affine Template / Affine Template
246	0.37	122.09	15	TERMINATING	13	5	18	Affine Template / Affine Template
247	0.3	68.19	8	TERMINATING	15	4	19	Affine Template / Affine Template
248	0.35	125.8	8	TERMINATING	17	2	19	Affine Template / Affine Template
249	0.33	95.49	8	TERMINATING	19	4	23	Affine Template / Affine Template
250	0.28	62.85	8	TERMINATING	14	11	25	Affine Template / Affine Template
251	0.32	119.29	8	TERMINATING	21	11	32	Affine Template / Affine Template
252	0.33	117.66	7	TERMINATING	14	13	27	Affine Template / Affine Template
253	0.65	91.29	7	TERMINATING	18	13	31	Affine Template / Affine Template
254	0.31	108.48	8	TERMINATING	25	4	29	Affine Template / Affine Template
255	0.34	121.31	8	TERMINATING	25	15	40	Affine Template / Affine Template
256	2	73.81	8	TERMINATING	5	4	9	Affine Template / Affine Template
257	0.33	74.84	8	TERMINATING	8	2	10	Affine Template / Affine Template
258	0.36	127.11	16	TERMINATING	13	5	18	Affine Template / Affine Template
259	0.36	69.22	8	TERMINATING	15	4	19	Affine Template / Affine Template
260	0.38	119.26	8	TERMINATING	17	2	19	Affine Template / Affine Template
261	0.53	100.8	8	TERMINATING	19	4	23	Affine Template / Affine Template
262	1.71	113.58	6	TERMINATING	6	3	9	Affine Template / Affine Template
263	2.1	120.99	6	TERMINATING	6	3	9	Affine Template / Affine Template
264	2.58	121.17	6	TERMINATING	6	3	9	Affine Template / Affine Template
265	1.92	98.61	5	TERMINATING	5	1	6	Affine Template / Affine Template
266	2.09	102.82	5	TERMINATING	5	1	6	Affine Template / Affine Template
267	2.1	99.04	6	TERMINATING	5	1	6	Affine Template / Affine Template
268	2.14	68.59	9	TERMINATING	6	2	8	Affine Template / Affine Template
269	0.72	189.11	9	TERMINATING	8	1	9	Affine Template / Affine Template
270	0.47	93.94	9	TERMINATING	9	2	11	Affine Template / Affine Template
271	0.46	150.02	10	TERMINATING	10	4	14	Affine Template / Affine Template
272	0.35	108.15	10	TERMINATING	11	2	13	Affine Template / Affine Template
273	1.89	56.24	9	TERMINATING	6	2	8	Affine Template / Affine Template
274	0.46	173.44	9	TERMINATING	8	1	9	Affine Template / Affine Template
275	0.4	81.04	9	TERMINATING	9	2	11	Affine Template / Affine Template
276	0.3	137.73	10	TERMINATING	10	4	14	Affine Template / Affine Template
277	0.32	94.65	10	TERMINATING	11	2	13	Affine Template / Affine Template
278	2.31	75.4	8	TERMINATING	6	2	8	Affine Template / Affine Template
279	0.69	182.27	9	TERMINATING	8	1	9	Affine Template / Affine Template
280	0.44	90.01	10	TERMINATING	9	2	11	Affine Template / Affine Template
281	0.38	141.52	10	TERMINATING	10	4	14	Affine Template / Affine Template
282	0.41	103.36	10	TERMINATING	11	2	13	Affine Template / Affine Template
283	2.13	62.13	9	TERMINATING	6	2	8	Affine Template / Affine Template
284	0.58	170.36	9	TERMINATING	8	1	9	Affine Template / Affine Template
285	0.45	83.68	8	TERMINATING	9	2	11	Affine Template / Affine Template
286	0.36	143.17	8	TERMINATING	10	4	14	Affine Template / Affine Template
287	0.27	99.22	10	TERMINATING	11	2	13	Affine Template / Affine Template
288	2.46	65.73	9	TERMINATING	6	2	8	Affine Template / Affine Template
289	0.96	187.16	9	TERMINATING	8	1	9	Affine Template / Affine Template
290	0.43	89.22	10	TERMINATING	9	2	11	Affine Template / Affine Template
291	0.48	151.89	11	TERMINATING	10	4	14	Affine Template / Affine Template
292	0.39	99.47	10	TERMINATING	11	2	13	Affine Template / Affine Template
293	2.07	139.6	13	TERMINATING	6	1	7	Affine Template / Affine Template
294	1.87	117.26	12	TERMINATING	6	1	7	Affine Template / Affine Template
295	2.49	138.92	13	TERMINATING	6	1	7	Affine Template / Affine Template
296	1.95	126.66	13	TERMINATING	6	1	7	Affine Template / Affine Template
297	2.73	139.21	13	TERMINATING	6	1	7	Affine Template / Affine Template
298	1.62	149.12	30	TERMINATING	5	1	6	Affine Template / Affine Template
299	1.9	174.42	32	TERMINATING	5	1	6	Affine Template / Affine Template
300	1.88	160.08	32	TERMINATING	5	1	6	Affine Template / Affine Template
301	2.14	122.48	15	TERMINATING	6	1	7	Affine Template / Affine Template
302	3.91	158.32	12	TERMINATING	6	1	7	Affine Template / Affine Template
303	3.75	152.11	14	TERMINATING	6	1	7	Affine Template / Affine Template
304	1.9	143.76	14	TERMINATING	6	1	7	Affine Template / Affine Template
305	2.2	165.17	14	TERMINATING	6	1	7	Affine Template / Affine Template
306	2.35	160.36	13	TERMINATING	6	1	7	Affine Template / Affine Template
307	1.95	139.45	13	TERMINATING	6	1	7	Affine Template / Affine Template
308	4.34	150.26	12	TERMINATING	6	1	7	Affine Template / Affine Template
309	3.24	150.71	13	TERMINATING	6	1	7	Affine Template / Affine Template
310	2.85	151.4	9	TERMINATING	5	1	6	Affine Template / Affine Template
311	3.16	166.63	9	TERMINATING	5	1	6	Affine Template / Affine Template
312	3.16	211.07	9	TERMINATING	5	1	6	Affine Template / Affine Template
313	1.82	100.6	6	TERMINATING	5	2	7	Affine Template / Affine Template
314	0.35	93.2	7	TERMINATING	7	1	8	Affine Template / Affine Template
315	1.95	110	7	TERMINATING	5	2	7	Affine Template / Affine Template
316	0.48	113.36	6	TERMINATING	7	1	8	Affine Template / Affine Template
317	2.08	107.64	6	TERMINATING	5	2	7	Affine Template / Affine Template
318	0.39	107.68	6	TERMINATING	7	1	8	Affine Template / Affine Template
319	0.38	42.08	7	TERMINATING	6	1	7	Affine Template / Affine Template
320	0.47	45.03	6	TERMINATING	6	1	7	Affine Template / Affine Template
321	0.48	45.32	6	TERMINATING	6	1	7	Affine Template / Affine Template
322	1.77	40.17	4	TERMINATING	0	1	1	Affine Template / Affine Template
323	1.83	28.67	3	TERMINATING	1	2	3	Affine Template / Affine Template
324	0.67	17.95	3	TERMINATING	1	2	3	Affine Template / Affine Template
325	1.87	291.49	20	TERMINATING	5	1	6	Affine Template / Affine Template
326	2.06	324.21	22	TERMINATING	5	1	6	Affine Template / Affine Template
327	1.8	113.55	9	TERMINATING	5	1	6	Affine Template / Affine Template
328	1.84	131.03	9	TERMINATING	5	1	6	Affine Template / Affine Template
329	1.85	176.73	15	TERMINATING	5	1	6	Affine Template / Affine Template
330	2.26	191.5	14	TERMINATING	5	1	6	Affine Template / Affine Template
331	2.11	267.01	24	TERMINATING	5	1	6	Affine Template / Affine Template
332	2.08	293.58	22	TERMINATING	5	1	6	Affine Template / Affine Template
333	1.76	296.69	21	TERMINATING	5	1	6	Affine Template / Affine Template
334	3.21	351.65	24	TERMINATING	5	1	6	Affine Template / Affine Template
335	2.21	875.71	39	TERMINATING	526	13	539	Affine Template / Affine Template
336	1.98	909.97	39	TERMINATING	526	13	539	Affine Template / Affine Template
337	1.95	1552.5	44	TERMINATING	587	21	608	Affine Template / Affine Template
338	2.95	312.15	37	TERMINATING	505	13	518	Affine Template / Affine Template
339	2.2	59.14	3	TERMINATING	1	1	2	Affine Template / Affine Template
340	3.73	104.27	6	TERMINATING	16	25	41	Affine Template / Affine Template
341	2.18	115.49	8	TERMINATING	20	13	33	Affine Template / Affine Template
342	6.56	138.54	8	TERMINATING	16	13	29	Affine Template / Affine Template
343	2.03	74.39	4	TERMINATING	1	1	2	Affine Template / Affine Template
344	2.1	72.05	4	TERMINATING	1	1	2	Affine Template / Affine Template
345	2.15	66.44	4	TERMINATING	1	1	2	Affine Template / Affine Template
346	1.99	66.74	6	TERMINATING	1	1	2	Affine Template / Affine Template
347	2.14	49.22	4	TERMINATING	1	1	2	Affine Template / Affine Template
348	2.07	55.04	4	TERMINATING	1	1	2	Affine Template / Affine Template
349	1.91	72.07	5	TERMINATING	1	1	2	Affine Template / Affine Template
350	1.6	98.95	5	TERMINATING	24	13	37	Affine Template / Affine Template
351	2.42	105.59	5	TERMINATING	1	1	2	Affine Template / Affine Template
352	5.14	183.94	5	TERMINATING	28	13	41	Affine Template / Affine Template
