lassos	nodes	cvc5	z3	Status
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.01.c/lasso_trace_3.txt	79	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.02.c/lasso_trace_1.txt	80	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.02.real.c/lasso_trace_1.txt	81	3	2	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03-no-inv.c/lasso_trace_1.txt	82	14	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03-no-inv.c/lasso_trace_2.txt	83	100	59	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03-no-inv.c/lasso_trace_3.txt	84	4	2	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.c/lasso_trace_1.txt	85	17	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.c/lasso_trace_2.txt	86	124	63	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.c/lasso_trace_3.txt	87	5	3	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real-no-inv.c/lasso_trace_1.txt	88	25	12	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real-no-inv.c/lasso_trace_2.txt	89	153	65	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real-no-inv.c/lasso_trace_3.txt	90	5	2	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real.c/lasso_trace_1.txt	91	24	11	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real.c/lasso_trace_2.txt	92	148	63	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.03.real.c/lasso_trace_3.txt	93	5	2	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.04_false-no-overflow.c/lasso_trace_1.txt	94	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.04_no-overflow.c/lasso_trace_1.txt	95	6	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.04_true-termination.c/lasso_trace_1.txt	96	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.04.c/lasso_trace_1.txt	97	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.05_false-no-overflow.c/lasso_trace_1.txt	98	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.05_no-overflow.c/lasso_trace_1.txt	99	8	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.05_true-termination.c/lasso_trace_1.txt	100	10	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.05.c/lasso_trace_1.txt	101	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.06_false-no-overflow.c/lasso_trace_1.txt	102	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.06_no-overflow.c/lasso_trace_1.txt	103	23	12	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.06_true-termination.c/lasso_trace_1.txt	104	12	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.06.c/lasso_trace_1.txt	105	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.07_false-no-overflow.c/lasso_trace_1.txt	106	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.07_no-overflow.c/lasso_trace_1.txt	107	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.07_true-termination.c/lasso_trace_1.txt	108	15	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.07.c/lasso_trace_1.txt	109	15	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.08_false-no-overflow.c/lasso_trace_1.txt	110	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.08_no-overflow.c/lasso_trace_1.txt	111	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.08_true-termination.c/lasso_trace_1.txt	112	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.08.c/lasso_trace_1.txt	113	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.09_assume_false-no-overflow.c/lasso_trace_1.txt	114	7	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.09_assume_no-overflow.c/lasso_trace_1.txt	115	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.09_assume_true-termination.c/lasso_trace_1.txt	116	11	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.09_assume.c/lasso_trace_1.txt	117	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.09.c/lasso_trace_1.txt	118	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_2.txt	119	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_3.txt	120	12	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_4.txt	121	11	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_5.txt	122	11	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_7.txt	123	39	21	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.10.c.t2.c/lasso_trace_8.txt	124	36	21	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_a.11.c/lasso_trace_1.txt	125	37	22	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron2_true-termination.c/lasso_trace_1.txt	126	15	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron2-1_no-overflow.c/lasso_trace_1.txt	127	16	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron2-1.c/lasso_trace_1.txt	128	17	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron2-2_no-overflow.c/lasso_trace_1.txt	129	15	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron2-2.c/lasso_trace_1.txt	130	16	10	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3_true-termination.c/lasso_trace_1.txt	131	44	33	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1_no-overflow.c/lasso_trace_1.txt	132	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1_no-overflow.c/lasso_trace_2.txt	133	16	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1_no-overflow.c/lasso_trace_3.txt	134	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1_no-overflow.c/lasso_trace_4.txt	135	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1.c/lasso_trace_1.txt	136	9	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1.c/lasso_trace_2.txt	137	16	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1.c/lasso_trace_3.txt	138	9	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-1.c/lasso_trace_4.txt	139	9	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-2_no-overflow.c/lasso_trace_1.txt	140	41	34	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_aaron3-2.c/lasso_trace_1.txt	141	41	32	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ack.c/lasso_trace_2.txt	142	10	6	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_false-termination_true-valid-memsafety.c/lasso_trace_1.txt	143	5	3	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_false-termination.c/lasso_trace_1.txt	144	4	3	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_Main.bpl/lasso_trace_1.txt	145	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_Main.bpl/lasso_trace_2.txt	146	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_Main.bpl/lasso_trace_3.txt	147	10	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_Main.bpl/lasso_trace_5.txt	148	17	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_Main.bpl/lasso_trace_7.txt	149	11	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_true-termination.c/lasso_trace_1.txt	150	30	14	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_true-termination.c/lasso_trace_10.txt	151	27	13	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_true-termination.c/lasso_trace_3.txt	152	15	7	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann_true-termination.c/lasso_trace_4.txt	153	67	28	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1_no-overflow.c/lasso_trace_1.txt	154	28	14	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1_no-overflow.c/lasso_trace_12.txt	155	28	13	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1_no-overflow.c/lasso_trace_2.txt	156	29	15	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1_no-overflow.c/lasso_trace_5.txt	157	19	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1_no-overflow.c/lasso_trace_6.txt	158	64	30	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1.c/lasso_trace_1.txt	159	27	14	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1.c/lasso_trace_12.txt	160	27	13	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1.c/lasso_trace_2.txt	161	26	15	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1.c/lasso_trace_5.txt	162	17	9	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-1.c/lasso_trace_6.txt	163	65	32	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2_termination.c/lasso_trace_1.txt	164	26	13	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2_termination.c/lasso_trace_3.txt	165	17	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2_termination.c/lasso_trace_4.txt	166	60	28	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2.c/lasso_trace_1.txt	167	28	13	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2.c/lasso_trace_3.txt	168	15	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann-2.c/lasso_trace_4.txt	169	63	29	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ackermann.bpl/lasso_trace_1.txt	170	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann.bpl/lasso_trace_1.txt	171	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann.bpl/lasso_trace_15.txt	172	17	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ackermann.bpl/lasso_trace_3.txt	173	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann.bpl/lasso_trace_3.txt	174	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann.bpl/lasso_trace_4.txt	175	12	6	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann01_true-termination.c/lasso_trace_1.txt	176	14	8	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann01_true-termination.c/lasso_trace_2.txt	177	43	24	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Ackermann01_true-termination.c/lasso_trace_3.txt	178	63	26	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_acqrel-fail.t2.c/lasso_trace_1.txt	179	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ACSL-at.c/lasso_trace_1.txt	180	4	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ACSL-boolConversion.c/lasso_trace_1.txt	181	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_ACSL-InvariantAndContinue.c/lasso_trace_1.txt	182	5	3	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Acsl01-EnsuresLocal-Safe.c/lasso_trace_1.txt	183	11	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Acsl02-EnsuresLocal-Unsafe.c/lasso_trace_1.txt	184	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Acsl03-EnsuresGlobal-Safe.c/lasso_trace_1.txt	185	8	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Acsl04-EnsuresGlobal-Unsafe.c/lasso_trace_1.txt	186	8	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_AcslLoopInvariant.c/lasso_trace_1.txt	187	8	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub01.bpl/lasso_trace_1.txt	188	1	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub02.bpl/lasso_trace_1.txt	189	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub03.bpl/lasso_trace_1.txt	190	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub04.bpl/lasso_trace_1.txt	191	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub05.bpl/lasso_trace_1.txt	192	2	2	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub06.bpl/lasso_trace_1.txt	193	3	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub07.bpl/lasso_trace_1.txt	194	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub08.bpl/lasso_trace_1.txt	195	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_add-sub09.bpl/lasso_trace_1.txt	196	2	1	NONTERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-correct.bpl/lasso_trace_1.txt	197	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-correct.bpl/lasso_trace_2.txt	198	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-incorrect.bpl/lasso_trace_1.txt	199	10	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-incorrect.bpl/lasso_trace_2.txt	200	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-incorrect2.bpl/lasso_trace_1.txt	201	7	4	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_addition-incorrect2.bpl/lasso_trace_2.txt	202	9	5	TERMINATING
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_Addition01_true-termination.c/lasso_trace_1.txt	203	10	4	TERMINATING
