nodes,Ultimate-fixpoint,Ultimate-all,pasttel,label,Stem Size,Loop Size,Total Size Trace,Algo,Total-NonTerminate
1150,"2,36","92,85",2,NONTERMINATING,1,2,3,GNTA / GNTA,"95,21"
1151,"3,62","76,89",2,NONTERMINATING,1,1,2,GNTA / GNTA,"80,51"
1152,"4,67","4,67",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,67"
1153,"4,93","4,93",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,93"
1154,"2,06","2,06",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,06"
1155,"2,04","2,04",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,04"
1156,"4,99","4,99",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,99"
1157,"9,88","9,88",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"9,88"
1158,"4,53","66,64",2,NONTERMINATING,1,1,2,GNTA / GNTA,"71,17"
1159,"2,17","2,17",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,17"
1160,"4,02","80,68",4,NONTERMINATING,1,1,2,GNTA / GNTA,"84,7"
1161,"7,18","7,18",2,NONTERMINATING,1,3,4,Fixpoint / Fixpoint,"7,18"
1162,"2,41","104,15",2,NONTERMINATING,1,1,2,GNTA / GNTA,"106,56"
1163,"3,8","71,71",2,NONTERMINATING,1,1,2,GNTA / GNTA,"75,51"
1164,"2,46","74,21",2,NONTERMINATING,1,1,2,GNTA / GNTA,"76,67"
1165,"0,82","60,31",2,NONTERMINATING,2,1,3,GNTA / GNTA,"61,13"
1166,"0,8","55,31",2,NONTERMINATING,2,1,3,GNTA / GNTA,"56,11"
1167,"6,14","6,14",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"6,14"
1168,"7,48","7,48",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"7,48"
1169,"2,3","2,3",1,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,3"
1170,"2,46","2,46",1,NONTERMINATING,21,20,41,Fixpoint / Fixpoint,"2,46"
1171,"1,93","1,93",2,NONTERMINATING,230,13,243,Fixpoint / Fixpoint,"1,93"
1172,"2,43","50,09",1,NONTERMINATING,0,1,1,GNTA / GNTA,"52,52"
1173,"4,1","4,1",2,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"4,1"
1174,"1,78","577,41",3,NONTERMINATING,129,23,152,GNTA / GNTA,"579,19"
1175,2,"89,58",2,NONTERMINATING,5,1,6,GNTA / GNTA,"91,58"
1176,"2,02","84,86",2,NONTERMINATING,5,1,6,GNTA / GNTA,"86,88"
1177,"1,93","100,46",2,NONTERMINATING,5,1,6,GNTA / GNTA,"102,39"
1178,"1,88","90,88",3,NONTERMINATING,5,1,6,GNTA / GNTA,"92,76"
1179,"0,48","80,52",2,NONTERMINATING,6,1,7,GNTA / GNTA,81
1180,"2,79","99,57",2,NONTERMINATING,0,3,3,GNTA / GNTA,"102,36"
1181,"0,49","83,07",2,NONTERMINATING,6,1,7,GNTA / GNTA,"83,56"
1182,"0,5","88,56",3,NONTERMINATING,6,1,7,GNTA / GNTA,"89,06"
1183,"2,41","102,63",2,NONTERMINATING,0,3,3,GNTA / GNTA,"105,04"
1184,"0,59","84,34",2,NONTERMINATING,6,1,7,GNTA / GNTA,"84,93"
1185,"3,02","3,02",1,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,02"
1186,"2,99","2,99",1,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"2,99"
1187,"4,79","4,79",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"4,79"
1188,"3,18","3,18",2,NONTERMINATING,5,1,6,Fixpoint / Fixpoint,"3,18"
1189,"2,92","2,92",1,NONTERMINATING,4,1,5,Fixpoint / Fixpoint,"2,92"
1190,"1,83","88,27",2,NONTERMINATING,5,1,6,GNTA / GNTA,"90,1"
1191,"3,85","3,85",1,NONTERMINATING,0,1,1,Fixpoint / Fixpoint,"3,85"
1192,"1,74","87,89",2,NONTERMINATING,5,1,6,GNTA / GNTA,"89,63"
1193,"2,03","96,82",2,NONTERMINATING,5,1,6,GNTA / GNTA,"98,85"
1194,"0,96","0,96",2,NONTERMINATING,194,35,229,Fixpoint / Fixpoint,"0,96"
1195,"2,04","76,96",3,NONTERMINATING,5,1,6,GNTA / GNTA,79
1196,"2,16","78,78",2,NONTERMINATING,5,1,6,GNTA / GNTA,"80,94"
1197,"7,08","7,08",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"7,08"
1198,"2,92","2,92",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,92"
1199,"3,64","3,64",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,64"
1200,"4,21","4,21",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"4,21"
1201,"5,92","5,92",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"5,92"
1202,"3,73","3,73",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"3,73"
1203,"10,67","10,67",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"10,67"
1204,"2,99","2,99",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"2,99"
1205,"3,74","3,74",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,74"
1206,"3,23","3,23",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,23"
1207,"2,82","2,82",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,82"
1208,"2,87","2,87",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,87"
1209,"2,94","2,94",2,NONTERMINATING,3,1,4,Fixpoint / Fixpoint,"2,94"
1210,"2,89","2,89",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,89"
1211,"2,88","2,88",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,88"
1212,"3,93","3,93",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"3,93"
1213,"2,56","2,56",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,56"
1214,"2,77","2,77",3,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,77"
1215,"2,78","2,78",2,NONTERMINATING,2,1,3,Fixpoint / Fixpoint,"2,78"
1216,"4,44","4,44",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,44"
1217,"4,18","4,18",2,NONTERMINATING,1,1,2,Fixpoint / Fixpoint,"4,18"
