lassos	nodes	Ultimate-all	pasttel	label	Algo
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d_no-overflow.c/lasso_trace_3.txt	1687	215.65	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d_true-termination.c/lasso_trace_2.txt	1688	136.01	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d_true-termination.c/lasso_trace_3.txt	1689	222.71	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d.c/lasso_trace_2.txt	1690	135.82	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_1d.c/lasso_trace_3.txt	1691	221.2	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2b_false-termination.c/lasso_trace_1.txt	1692	165.22	7	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2b_no-overflow.c/lasso_trace_1.txt	1693	185.24	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2b.c/lasso_trace_1.txt	1694	170.81	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2c_no-overflow.c/lasso_trace_1.txt	1695	161.23	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2c_true-termination.c/lasso_trace_1.txt	1696	175.13	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_NestedRecursion_2c.c/lasso_trace_1.txt	1697	162.65	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_10.txt	1698	334.76	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_100.txt	1699	413.8	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_101.txt	1700	276.2	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_102.txt	1701	416.07	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_103.txt	1702	521.61	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_104.txt	1703	358.79	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_105.txt	1704	224.54	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_106.txt	1705	389.91	5	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_107.txt	1706	218.53	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_108.txt	1707	366.51	6	TERMINATING	Affine Template / Affine Template
ATVA2026_benchmark/ALL_INT_VARS//lasso_traces_new_ex.t2.c/lasso_trace_109.txt	1708	266.33	6	TERMINATING	Affine Template / Affine Template
