nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
167	2.49	177.87	45.00	TERMINATING	16	6	22	Affine template / Affine template
168	1.92	65.28	10.00	TERMINATING	6	1	7	Affine template / Affine template
169	2.06	52.17	7.00	TERMINATING	14	3	17	Affine template / Affine template
170	0.37	47.63	13.00	TERMINATING	16	7	23	Affine template / Affine template
171	2.94	67.19	11.00	TERMINATING	14	3	17	Affine template / Affine template
172	0.35	45.75	13.00	TERMINATING	16	7	23	Affine template / Affine template
173	3.07	166.75	48.00	TERMINATING	10	10	20	Affine template / Affine template
174	2.04	88.04	15.00	TERMINATING	7	1	8	Affine template / Affine template
175	2.70	162.58	42.00	TERMINATING	10	7	17	Affine template / Affine template
176	1.98	49.17	7.00	TERMINATING	1	1	2	Affine template / Affine template
177	1.98	54.96	7.00	TERMINATING	7	1	8	Affine template / Affine template
178	2.72	120.10	50.00	TERMINATING	10	9	19	Affine template / Affine template
179	2.17	74.51	7.00	TERMINATING	1	1	2	Affine template / Affine template
180	1.98	62.59	9.00	TERMINATING	7	1	8	Affine template / Affine template
181	2.19	90.93	38.00	TERMINATING	11	8	19	Affine template / Affine template
182	1.86	57.68	7.00	TERMINATING	8	2	10	Affine template / Affine template
183	2.09	167.54	47.00	TERMINATING	11	6	17	Affine template / Nested template
184	1.93	51.12	7.00	TERMINATING	8	1	9	Affine template / Affine template
185	2.58	170.29	45.00	TERMINATING	10	9	19	Affine template / Affine template
186	1.89	75.91	10.00	TERMINATING	1	1	2	Affine template / Affine template
187	2.24	66.78	12.00	TERMINATING	7	1	8	Affine template / Affine template
188	2.46	104.16	38.00	TERMINATING	10	7	17	Affine template / Affine template
189	2.17	51.98	8.00	TERMINATING	1	1	2	Affine template / Affine template
190	2.64	152.36	51.00	TERMINATING	10	10	20	Affine template / Affine template
191	2.24	57.23	8.00	TERMINATING	1	1	2	Affine template / Affine template
192	1.87	65.74	8.00	TERMINATING	7	1	8	Affine template / Affine template
193	3.36	284.32	74.00	TERMINATING	11	12	23	Affine template / Affine template
194	2.43	79.59	7.00	TERMINATING	1	1	2	Affine template / Affine template
195	2.33	66.95	13.00	TERMINATING	7	1	8	Affine template / Affine template
196	2.56	280.78	85.00	TERMINATING	14	9	23	Affine template / Affine template
197	1.75	134.19	50.00	TERMINATING	19	11	30	Affine template / Affine template
198	2.18	96.54	13.00	TERMINATING	8	3	11	Affine template / Affine template
199	0.48	44.08	8.00	TERMINATING	9	4	13	Affine template / Affine template
200	2.65	312.41	79.00	TERMINATING	14	9	23	Affine template / Affine template
201	1.44	344.44	92.00	TERMINATING	19	9	28	Affine template / Affine template
202	2.31	117.02	41.00	TERMINATING	10	9	19	Affine template / Affine template
203	1.37	131.42	46.00	TERMINATING	15	11	26	Affine template / Affine template
204	2.11	76.48	10.00	TERMINATING	1	1	2	Affine template / Affine template
205	2.25	101.63	13.00	TERMINATING	7	1	8	Affine template / Affine template
206	2.55	115.11	48.00	TERMINATING	10	10	20	Affine template / Affine template
207	1.34	121.09	45.00	TERMINATING	16	13	29	Affine template / Affine template
208	2.04	86.23	45.00	TERMINATING	19	13	32	Affine template / Affine template
209	1.99	84.22	10.00	TERMINATING	1	1	2	Affine template / Affine template
210	3.01	104.75	15.00	TERMINATING	7	1	8	Affine template / Affine template
211	2.77	133.02	44.00	TERMINATING	10	9	19	Affine template / Affine template
212	1.42	177.89	50.00	TERMINATING	12	12	24	Affine template / Affine template
213	2.52	89.04	10.00	TERMINATING	1	1	2	Affine template / Affine template
214	2.07	96.71	18.00	TERMINATING	7	1	8	Affine template / Affine template
215	2.60	163.24	55.00	TERMINATING	11	11	22	Affine template / Affine template
216	1.73	118.26	77.00	TERMINATING	14	16	30	Affine template / Affine template
217	2.22	110.48	16.00	TERMINATING	1	1	2	Affine template / Affine template
218	2.11	119.22	24.00	TERMINATING	7	1	8	Affine template / Affine template
