nodes	Ultimate-fixpoint	Ultimate-all	pasttel	label	Stem Size	Loop Size	Total Size Trace	Algo
141	3.20	3.20	1.00	NONTERMINATING	110	8	118	Fixpoint / Fixpoint
142	1.01	1.01	1.00	NONTERMINATING	159	8	167	Fixpoint / Fixpoint
143	0.39	49.37	3.00	NONTERMINATING	39	31	70	GNTA / GNTA
144	3.26	3.26	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
145	3.52	3.52	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
146	2.02	43.59	2.00	NONTERMINATING	5	1	6	GNTA / GNTA
147	1.98	43.93	1.00	NONTERMINATING	5	1	6	GNTA / GNTA
148	3.33	3.33	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
149	3.31	3.31	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
150	1.92	38.87	1.00	NONTERMINATING	5	1	6	GNTA / GNTA
151	2.41	2.41	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
152	2.91	2.91	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
153	1.79	1.79	1.00	NONTERMINATING	6	2	8	Fixpoint / Fixpoint
154	0.31	47.98	3.00	NONTERMINATING	71	31	102	GNTA / GNTA
155	1.25	1.25	1.00	NONTERMINATING	168	125	293	Fixpoint / Fixpoint
156	0.48	61.11	2.00	NONTERMINATING	129	22	151	GNTA / GNTA
157	0.47	47.68	3.00	NONTERMINATING	31	21	52	GNTA / GNTA
158	1.73	41.26	1.00	NONTERMINATING	24	12	36	GNTA / GNTA
159	1.58	42.94	1.00	NONTERMINATING	45	12	57	GNTA / GNTA
160	3.24	3.24	1.00	NONTERMINATING	20	21	41	Fixpoint / Fixpoint
161	0.25	72.11	4.00	NONTERMINATING	351	54	405	GNTA / GNTA
162	1.69	41.23	1.00	NONTERMINATING	24	12	36	GNTA / GNTA
163	1.81	1.81	1.00	NONTERMINATING	45	12	57	Fixpoint / Fixpoint
164	1.27	1.27	1.00	NONTERMINATING	49	16	65	Fixpoint / Fixpoint
165	3.69	3.69	1.00	NONTERMINATING	8	2	10	Fixpoint / Fixpoint
166	3.95	3.95	3.00	NONTERMINATING	405	8	413	Fixpoint / Fixpoint
167	3.75	3.75	2.00	NONTERMINATING	217	8	225	Fixpoint / Fixpoint
168	2.95	2.95	1.00	NONTERMINATING	5	1	6	Fixpoint / Fixpoint
169	0.49	62.49	3.00	NONTERMINATING	158	39	197	GNTA / GNTA
170	0.57	60.57	3.00	NONTERMINATING	158	39	197	GNTA / GNTA
171	0.52	55.35	3.00	NONTERMINATING	158	39	197	GNTA / GNTA
172	9.45	9.45	7.00	NONTERMINATING	740	24	764	Fixpoint / Fixpoint
173	9.23	9.23	7.00	NONTERMINATING	804	24	828	Fixpoint / Fixpoint
174	1.80	49.04	1.00	NONTERMINATING	62	26	88	GNTA / GNTA
175	1.91	1.91	2.00	NONTERMINATING	152	193	345	Fixpoint / Fixpoint
176	2.03	2.03	3.00	NONTERMINATING	110	193	303	Fixpoint / Fixpoint
177	3.64	3.64	2.00	NONTERMINATING	160	52	212	Fixpoint / Fixpoint
178	3.56	3.56	3.00	NONTERMINATING	144	125	269	Fixpoint / Fixpoint
179	1.45	1.45	2.00	NONTERMINATING	257	41	298	Fixpoint / Fixpoint
180	2.40	2.40	1.00	NONTERMINATING	2	1	3	Fixpoint / Fixpoint
181	4.06	4.06	3.00	NONTERMINATING	6	37	43	Fixpoint / Fixpoint
